"","ts_value_id","ts_id","datetime","req_timestamp","ts_value","station_latitude","station_longitude","stationparameter_name","station_name","station_no","dataprovider","dataowner","significant","Portal_Bekken","Actuele.status"
"290",33,"0193664042"," 4 januari 2024 07:02",NA,2,51.2558548282932,3.27684205629911,"H","Damme/Rombautswerve","01S02_45A","VMM","Oostkustpolder","0","Bekken Brugse polders","Waak"
"291",36,"0193308042"," 4 januari 2024 07:02",NA,2,51.1447867525982,5.00390997840452,"H","Geel/Grote Nete","01L10_077","VMM","VMM","0","Netebekken","Waak"
"292",40,"0488151010"," 4 januari 2024 07:15",NA,2,51.0952527011388,3.56369768092487,"H","Merendree Opwaarts DVW/Afleidingskl Leie","04OW013-OPW-1073","MOW-HIC","DVW-ARW","0","Bekken Gentse kanalen","Waak"
"293",44,"0193744042"," 4 januari 2024 07:02",NA,2,51.181557780126,5.6382519561312,"H","Bocholt/Abeek","01L11_512","VMM","VMM","0","Maasbekken","Waak"
"294",45,"0193228042"," 4 januari 2024 07:02",NA,2,51.0449293192817,4.28067440536508,"H","Liezele/Molenbeek","01L04_036","VMM","VMM","1","Beneden-Scheldebekken","Waak"
"295",46,"0193616042"," 4 januari 2024 07:02",NA,2,51.2242229556945,2.96072737870374,"H","Bredene/Noordede","01L02_42B","VMM","VMM","0","Bekken Brugse polders","Waak"
"296",47,"0488255010"," 4 januari 2024 07:15",NA,2,50.9115284815914,3.41098120593817,"H","Sint-Baafs-Vijve Opwaarts DVW/Leie","04WW006-OPW-1073","MOW-HIC","DVW-ARW","0","Leiebekken","Waak"
"297",52,"01122545042"," 4 januari 2024 07:02",NA,2,51.2602731316268,5.42106412874749,"H","Neerpelt/Dommel","01L11_025","VMM","VMM","0","Maasbekken","Waak"
"298",56,"0193296042"," 4 januari 2024 07:02",NA,2,51.2464240021026,5.00874826555144,"H","Kasterlee/Wamp","01L10_067","VMM","VMM","0","Netebekken","Waak"
"299",59,"0193596042"," 4 januari 2024 07:02",NA,2,51.1758157779625,3.21005394249372,"H","Sint-Michiels/Kerkebeek","01L02_422","VMM","VMM","0","Bekken Brugse polders","Waak"
"300",61,"0197921042"," 4 januari 2024 07:00",NA,2,51.008611349865,4.72693259436862,"H","Tremelo/Vrouwvliet","01S08_11G","VMM","Provincie Vlaams-Brabant","","Dijlebekken","Waak"
